試合日,開催地,対戦カード,game_id,URL,試合状態,試合種別,種別
2025/06/06,東京ドーム,巨人 vs 楽天,2021029376,https://baseball.yahoo.co.jp/npb/game/2021029376/index,試合終了,セ・パ交流戦,交流戦
2025/06/06,神宮,ヤクルト vs ソフトバンク,2021029377,https://baseball.yahoo.co.jp/npb/game/2021029377/index,試合終了,セ・パ交流戦,交流戦
2025/06/06,横浜,DeNA vs 日本ハム,2021029378,https://baseball.yahoo.co.jp/npb/game/2021029378/index,試合終了,セ・パ交流戦,交流戦
2025/06/06,バンテリンドーム,中日 vs ロッテ,2021029379,https://baseball.yahoo.co.jp/npb/game/2021029379/index,試合終了,セ・パ交流戦,交流戦
2025/06/06,甲子園,阪神 vs オリックス,2021029380,https://baseball.yahoo.co.jp/npb/game/2021029380/index,試合終了,セ・パ交流戦,交流戦
2025/06/06,マツダスタジアム,広島 vs 西武,2021029381,https://baseball.yahoo.co.jp/npb/game/2021029381/index,試合終了,セ・パ交流戦,交流戦
2025/06/06,戸田,ヤクルト vs DeNA,2021030714,https://baseball.yahoo.co.jp/npb/game/2021030714/index,試合終了,イ・リーグ,セ・リーグ
2025/06/06,森林どり泉,楽天 vs 西武,2021030712,https://baseball.yahoo.co.jp/npb/game/2021030712/index,試合終了,イ・リーグ,パ・リーグ
2025/06/06,ハードオフ新潟,オイシックス vs 巨人,2021030713,https://baseball.yahoo.co.jp/npb/game/2021030713/index,試合終了,イ・リーグ,その他
2025/06/06,ナゴヤ球場,中日 vs 広島,2021030215,https://baseball.yahoo.co.jp/npb/game/2021030215/index,試合終了,ウ・リーグ,セ・リーグ
2025/06/06,杉本商事BS,オリックス vs くふうハヤテ,2021030216,https://baseball.yahoo.co.jp/npb/game/2021030216/index,試合終了,ウ・リーグ,その他
2025/06/06,タマスタ筑後,ソフトバンク vs 阪神,2021030217,https://baseball.yahoo.co.jp/npb/game/2021030217/index,試合終了,ウ・リーグ,交流戦
