試合日,開催地,対戦カード,game_id,URL,試合状態,試合種別,種別
2025/03/29,東京ドーム,巨人 vs ヤクルト,2021029044,https://baseball.yahoo.co.jp/npb/game/2021029044/index,試合終了,セ・リーグ,セ・リーグ
2025/03/29,マツダスタジアム,広島 vs 阪神,2021029046,https://baseball.yahoo.co.jp/npb/game/2021029046/index,試合終了,セ・リーグ,セ・リーグ
2025/03/29,横浜,DeNA vs 中日,2021029045,https://baseball.yahoo.co.jp/npb/game/2021029045/index,試合終了,セ・リーグ,セ・リーグ
2025/03/29,ベルーナドーム,西武 vs 日本ハム,2021029047,https://baseball.yahoo.co.jp/npb/game/2021029047/index,試合終了,パ・リーグ,パ・リーグ
2025/03/29,京セラD大阪,オリックス vs 楽天,2021029048,https://baseball.yahoo.co.jp/npb/game/2021029048/index,試合終了,パ・リーグ,パ・リーグ
2025/03/29,みずほPayPay,ソフトバンク vs ロッテ,2021029049,https://baseball.yahoo.co.jp/npb/game/2021029049/index,試合終了,パ・リーグ,パ・リーグ
2025/03/29,戸田,ヤクルト vs ロッテ,2021030509,https://baseball.yahoo.co.jp/npb/game/2021030509/index,試合中止,イ・リーグ,交流戦
2025/03/29,鎌スタ,日本ハム vs DeNA,2021030510,https://baseball.yahoo.co.jp/npb/game/2021030510/index,試合中止,イ・リーグ,交流戦
2025/03/29,カーミニーク,西武 vs 巨人,2021030512,https://baseball.yahoo.co.jp/npb/game/2021030512/index,試合中止,イ・リーグ,交流戦
2025/03/29,ハードオフ新潟,オイシックス vs 楽天,2021030511,https://baseball.yahoo.co.jp/npb/game/2021030511/index,試合終了,イ・リーグ,その他
2025/03/29,ナゴヤ球場,中日 vs 広島,2021030065,https://baseball.yahoo.co.jp/npb/game/2021030065/index,試合終了,ウ・リーグ,セ・リーグ
2025/03/29,ＳＧＬ,阪神 vs くふうハヤテ,2021030066,https://baseball.yahoo.co.jp/npb/game/2021030066/index,試合終了,ウ・リーグ,その他
2025/03/29,タマスタ筑後,ソフトバンク vs オリックス,2021030067,https://baseball.yahoo.co.jp/npb/game/2021030067/index,試合終了,ウ・リーグ,パ・リーグ
