試合日,開催地,対戦カード,game_id,URL,試合状態,試合種別,種別
2025/09/15,甲子園,阪神 vs 中日,2021029837,https://baseball.yahoo.co.jp/npb/game/2021029837/index,試合終了,セ・リーグ,セ・リーグ
2025/09/15,マツダスタジアム,広島 vs ヤクルト,2021029838,https://baseball.yahoo.co.jp/npb/game/2021029838/index,試合終了,セ・リーグ,セ・リーグ
2025/09/15,横浜,DeNA vs 巨人,2021029836,https://baseball.yahoo.co.jp/npb/game/2021029836/index,試合終了,セ・リーグ,セ・リーグ
2025/09/15,エスコンF,日本ハム vs 西武,2021029839,https://baseball.yahoo.co.jp/npb/game/2021029839/index,試合終了,パ・リーグ,パ・リーグ
2025/09/15,楽天モバイル,楽天 vs ロッテ,2021029840,https://baseball.yahoo.co.jp/npb/game/2021029840/index,試合終了,パ・リーグ,パ・リーグ
2025/09/15,京セラD大阪,オリックス vs ソフトバンク,2021029841,https://baseball.yahoo.co.jp/npb/game/2021029841/index,試合終了,パ・リーグ,パ・リーグ
2025/09/15,鎌スタ,日本ハム vs DeNA,2021030967,https://baseball.yahoo.co.jp/npb/game/2021030967/index,試合終了,イ・リーグ,交流戦
2025/09/15,カーミニーク,西武 vs 巨人,2021030969,https://baseball.yahoo.co.jp/npb/game/2021030969/index,試合終了,イ・リーグ,交流戦
2025/09/15,ハードオフ新潟,オイシックス vs ヤクルト,2021030968,https://baseball.yahoo.co.jp/npb/game/2021030968/index,試合終了,イ・リーグ,その他
2025/09/15,ナゴヤ球場,中日 vs 阪神,2021030436,https://baseball.yahoo.co.jp/npb/game/2021030436/index,試合終了,ウ・リーグ,セ・リーグ
2025/09/15,シティS,オリックス vs 広島,2021030437,https://baseball.yahoo.co.jp/npb/game/2021030437/index,試合終了,ウ・リーグ,交流戦
2025/09/15,タマスタ筑後,ソフトバンク vs くふうハヤテ,2021030438,https://baseball.yahoo.co.jp/npb/game/2021030438/index,試合終了,ウ・リーグ,その他
