試合日,開催地,対戦カード,game_id,URL,試合状態,試合種別,種別
2025/06/17,東京ドーム,巨人 vs 日本ハム,2021029430,https://baseball.yahoo.co.jp/npb/game/2021029430/index,試合終了,セ・パ交流戦,交流戦
2025/06/17,神宮,ヤクルト vs 楽天,2021029431,https://baseball.yahoo.co.jp/npb/game/2021029431/index,試合終了,セ・パ交流戦,交流戦
2025/06/17,横浜,DeNA vs 西武,2021029432,https://baseball.yahoo.co.jp/npb/game/2021029432/index,試合終了,セ・パ交流戦,交流戦
2025/06/17,バンテリンドーム,中日 vs オリックス,2021029433,https://baseball.yahoo.co.jp/npb/game/2021029433/index,試合終了,セ・パ交流戦,交流戦
2025/06/17,甲子園,阪神 vs ロッテ,2021029434,https://baseball.yahoo.co.jp/npb/game/2021029434/index,試合終了,セ・パ交流戦,交流戦
2025/06/17,マツダスタジアム,広島 vs ソフトバンク,2021029435,https://baseball.yahoo.co.jp/npb/game/2021029435/index,試合終了,セ・パ交流戦,交流戦
2025/06/17,森林どり泉,楽天 vs ヤクルト,2021030743,https://baseball.yahoo.co.jp/npb/game/2021030743/index,試合終了,イ・リーグ,交流戦
2025/06/17,鎌スタ,日本ハム vs 西武,2021030745,https://baseball.yahoo.co.jp/npb/game/2021030745/index,試合終了,イ・リーグ,パ・リーグ
2025/06/17,Gタウン,巨人 vs ロッテ,2021030746,https://baseball.yahoo.co.jp/npb/game/2021030746/index,試合終了,イ・リーグ,交流戦
2025/06/17,ハードオフ新潟,オイシックス vs DeNA,2021030744,https://baseball.yahoo.co.jp/npb/game/2021030744/index,試合終了,イ・リーグ,その他
2025/06/17,ちゅ～る,くふうハヤテ vs 中日,2021030240,https://baseball.yahoo.co.jp/npb/game/2021030240/index,試合終了,ウ・リーグ,その他
2025/06/17,倉敷,阪神 vs 広島,2021030241,https://baseball.yahoo.co.jp/npb/game/2021030241/index,試合終了,ウ・リーグ,セ・リーグ
2025/06/17,タマスタ筑後,ソフトバンク vs オリックス,2021030242,https://baseball.yahoo.co.jp/npb/game/2021030242/index,試合終了,ウ・リーグ,パ・リーグ
