試合日,開催地,対戦カード,game_id,URL,試合状態,試合種別,種別
2025/07/13,バンテリンドーム,中日 vs 広島,2021029546,https://baseball.yahoo.co.jp/npb/game/2021029546/index,試合終了,セ・リーグ,セ・リーグ
2025/07/13,横浜,DeNA vs 巨人,2021029545,https://baseball.yahoo.co.jp/npb/game/2021029545/index,試合終了,セ・リーグ,セ・リーグ
2025/07/13,甲子園,阪神 vs ヤクルト,2021029547,https://baseball.yahoo.co.jp/npb/game/2021029547/index,試合終了,セ・リーグ,セ・リーグ
2025/07/13,エスコンF,日本ハム vs オリックス,2021029548,https://baseball.yahoo.co.jp/npb/game/2021029548/index,試合終了,パ・リーグ,パ・リーグ
2025/07/13,楽天モバイル,楽天 vs ソフトバンク,2021029549,https://baseball.yahoo.co.jp/npb/game/2021029549/index,試合終了,パ・リーグ,パ・リーグ
2025/07/13,ZOZOマリン,ロッテ vs 西武,2021029550,https://baseball.yahoo.co.jp/npb/game/2021029550/index,試合終了,パ・リーグ,パ・リーグ
2025/07/13,ロッテ,ロッテ vs 楽天,2021030822,https://baseball.yahoo.co.jp/npb/game/2021030822/index,試合終了,イ・リーグ,パ・リーグ
2025/07/13,戸田,ヤクルト vs DeNA,2021030820,https://baseball.yahoo.co.jp/npb/game/2021030820/index,試合終了,イ・リーグ,セ・リーグ
2025/07/13,新潟みどり森,オイシックス vs 西武,2021030821,https://baseball.yahoo.co.jp/npb/game/2021030821/index,試合終了,イ・リーグ,その他
2025/07/13,ジャイアンツ,巨人 vs 日本ハム,2021030823,https://baseball.yahoo.co.jp/npb/game/2021030823/index,試合終了,イ・リーグ,交流戦
2025/07/13,ナゴヤ球場,中日 vs くふうハヤテ,2021030302,https://baseball.yahoo.co.jp/npb/game/2021030302/index,試合終了,ウ・リーグ,その他
2025/07/13,高槻萩谷,オリックス vs 阪神,2021030303,https://baseball.yahoo.co.jp/npb/game/2021030303/index,試合終了,ウ・リーグ,交流戦
2025/07/13,タマスタ筑後,ソフトバンク vs 広島,2021030304,https://baseball.yahoo.co.jp/npb/game/2021030304/index,試合終了,ウ・リーグ,交流戦
