試合日,開催地,対戦カード,game_id,URL,試合状態,試合種別,種別
2025/05/10,横浜,DeNA vs 広島,2021029247,https://baseball.yahoo.co.jp/npb/game/2021029247/index,試合終了,セ・リーグ,セ・リーグ
2025/05/10,甲子園,阪神 vs 中日,2021029248,https://baseball.yahoo.co.jp/npb/game/2021029248/index,試合終了,セ・リーグ,セ・リーグ
2025/05/10,神宮,ヤクルト vs 巨人,2021029246,https://baseball.yahoo.co.jp/npb/game/2021029246/index,試合終了,セ・リーグ,セ・リーグ
2025/05/10,エスコンF,日本ハム vs 楽天,2021029249,https://baseball.yahoo.co.jp/npb/game/2021029249/index,試合終了,パ・リーグ,パ・リーグ
2025/05/10,ベルーナドーム,西武 vs ロッテ,2021029250,https://baseball.yahoo.co.jp/npb/game/2021029250/index,試合終了,パ・リーグ,パ・リーグ
2025/05/10,京セラD大阪,オリックス vs ソフトバンク,2021029251,https://baseball.yahoo.co.jp/npb/game/2021029251/index,試合終了,パ・リーグ,パ・リーグ
2025/05/10,ロッテ,ロッテ vs DeNA,2021030638,https://baseball.yahoo.co.jp/npb/game/2021030638/index,試合中止,イ・リーグ,交流戦
2025/05/10,森林どり泉,楽天 vs 日本ハム,2021030636,https://baseball.yahoo.co.jp/npb/game/2021030636/index,試合中止,イ・リーグ,パ・リーグ
2025/05/10,カーミニーク,西武 vs 巨人,2021030639,https://baseball.yahoo.co.jp/npb/game/2021030639/index,試合中止,イ・リーグ,交流戦
2025/05/10,新潟みどり森,オイシックス vs ヤクルト,2021030637,https://baseball.yahoo.co.jp/npb/game/2021030637/index,試合終了,イ・リーグ,その他
2025/05/10,マツダスタジアム,広島 vs 中日,2021030160,https://baseball.yahoo.co.jp/npb/game/2021030160/index,試合終了,ウ・リーグ,セ・リーグ
2025/05/10,静岡,くふうハヤテ vs オリックス,2021030158,https://baseball.yahoo.co.jp/npb/game/2021030158/index,試合中止,ウ・リーグ,その他
2025/05/10,ＳＧＬ,阪神 vs ソフトバンク,2021030159,https://baseball.yahoo.co.jp/npb/game/2021030159/index,試合終了,ウ・リーグ,交流戦
