試合日,開催地,対戦カード,game_id,URL,試合状態,試合種別,種別
2025/07/11,横浜,DeNA vs 巨人,2021029533,https://baseball.yahoo.co.jp/npb/game/2021029533/index,試合終了,セ・リーグ,セ・リーグ
2025/07/11,バンテリンドーム,中日 vs 広島,2021029534,https://baseball.yahoo.co.jp/npb/game/2021029534/index,試合終了,セ・リーグ,セ・リーグ
2025/07/11,甲子園,阪神 vs ヤクルト,2021029535,https://baseball.yahoo.co.jp/npb/game/2021029535/index,試合終了,セ・リーグ,セ・リーグ
2025/07/11,エスコンF,日本ハム vs オリックス,2021029536,https://baseball.yahoo.co.jp/npb/game/2021029536/index,試合終了,パ・リーグ,パ・リーグ
2025/07/11,楽天モバイル,楽天 vs ソフトバンク,2021029537,https://baseball.yahoo.co.jp/npb/game/2021029537/index,試合終了,パ・リーグ,パ・リーグ
2025/07/11,ZOZOマリン,ロッテ vs 西武,2021029538,https://baseball.yahoo.co.jp/npb/game/2021029538/index,試合終了,パ・リーグ,パ・リーグ
2025/07/11,ロッテ,ロッテ vs 楽天,2021030814,https://baseball.yahoo.co.jp/npb/game/2021030814/index,試合終了,イ・リーグ,パ・リーグ
2025/07/11,ジャイアンツ,巨人 vs 日本ハム,2021030815,https://baseball.yahoo.co.jp/npb/game/2021030815/index,試合終了,イ・リーグ,交流戦
2025/07/11,新潟みどり森,オイシックス vs 西武,2021030813,https://baseball.yahoo.co.jp/npb/game/2021030813/index,試合終了,イ・リーグ,その他
2025/07/11,杉本商事BS,オリックス vs 阪神,2021030297,https://baseball.yahoo.co.jp/npb/game/2021030297/index,試合終了,ウ・リーグ,交流戦
2025/07/11,タマスタ筑後,ソフトバンク vs 広島,2021030298,https://baseball.yahoo.co.jp/npb/game/2021030298/index,試合終了,ウ・リーグ,交流戦
