試合日,開催地,対戦カード,game_id,URL,試合状態,試合種別,種別
2025/04/18,神宮,ヤクルト vs 巨人,2021029140,https://baseball.yahoo.co.jp/npb/game/2021029140/index,試合終了,セ・リーグ,セ・リーグ
2025/04/18,甲子園,阪神 vs 広島,2021029141,https://baseball.yahoo.co.jp/npb/game/2021029141/index,試合終了,セ・リーグ,セ・リーグ
2025/04/18,楽天モバイル,楽天 vs ロッテ,2021029142,https://baseball.yahoo.co.jp/npb/game/2021029142/index,試合終了,パ・リーグ,パ・リーグ
2025/04/18,ベルーナドーム,西武 vs ソフトバンク,2021029143,https://baseball.yahoo.co.jp/npb/game/2021029143/index,試合終了,パ・リーグ,パ・リーグ
2025/04/18,京セラD大阪,オリックス vs 日本ハム,2021029144,https://baseball.yahoo.co.jp/npb/game/2021029144/index,試合終了,パ・リーグ,パ・リーグ
2025/04/18,ロッテ,ロッテ vs ヤクルト,2021030567,https://baseball.yahoo.co.jp/npb/game/2021030567/index,試合終了,イ・リーグ,交流戦
2025/04/18,Gタウン,巨人 vs 西武,2021030566,https://baseball.yahoo.co.jp/npb/game/2021030566/index,試合終了,イ・リーグ,交流戦
2025/04/18,鎌スタ,日本ハム vs オイシックス,2021030568,https://baseball.yahoo.co.jp/npb/game/2021030568/index,試合終了,イ・リーグ,その他
2025/04/18,横須賀,DeNA vs 楽天,2021030569,https://baseball.yahoo.co.jp/npb/game/2021030569/index,試合終了,イ・リーグ,交流戦
2025/04/18,ＳＧＬ,阪神 vs 広島,2021030106,https://baseball.yahoo.co.jp/npb/game/2021030106/index,試合終了,ウ・リーグ,セ・リーグ
2025/04/18,タマスタ筑後,ソフトバンク vs オリックス,2021030107,https://baseball.yahoo.co.jp/npb/game/2021030107/index,試合終了,ウ・リーグ,パ・リーグ
