試合日,開催地,対戦カード,game_id,URL,試合状態,試合種別,種別
2025/06/28,東京ドーム,巨人 vs DeNA,2021029472,https://baseball.yahoo.co.jp/npb/game/2021029472/index,試合終了,セ・リーグ,セ・リーグ
2025/06/28,神宮,ヤクルト vs 阪神,2021029473,https://baseball.yahoo.co.jp/npb/game/2021029473/index,試合終了,セ・リーグ,セ・リーグ
2025/06/28,バンテリンドーム,中日 vs 広島,2021029474,https://baseball.yahoo.co.jp/npb/game/2021029474/index,試合終了,セ・リーグ,セ・リーグ
2025/06/28,京セラD大阪,オリックス vs 楽天,2021029477,https://baseball.yahoo.co.jp/npb/game/2021029477/index,試合終了,パ・リーグ,パ・リーグ
2025/06/28,ベルーナドーム,西武 vs 日本ハム,2021029475,https://baseball.yahoo.co.jp/npb/game/2021029475/index,試合終了,パ・リーグ,パ・リーグ
2025/06/28,ZOZOマリン,ロッテ vs ソフトバンク,2021029476,https://baseball.yahoo.co.jp/npb/game/2021029476/index,試合終了,パ・リーグ,パ・リーグ
2025/06/28,戸田,ヤクルト vs 西武,2021030777,https://baseball.yahoo.co.jp/npb/game/2021030777/index,試合終了,イ・リーグ,交流戦
2025/06/28,佐倉,ロッテ vs 巨人,2021030778,https://baseball.yahoo.co.jp/npb/game/2021030778/index,試合終了,イ・リーグ,交流戦
2025/06/28,長岡悠久山,オイシックス vs 楽天,2021030779,https://baseball.yahoo.co.jp/npb/game/2021030779/index,試合終了,イ・リーグ,その他
2025/06/28,鎌スタ,日本ハム vs DeNA,2021030780,https://baseball.yahoo.co.jp/npb/game/2021030780/index,試合終了,イ・リーグ,交流戦
2025/06/28,由宇,広島 vs くふうハヤテ,2021030268,https://baseball.yahoo.co.jp/npb/game/2021030268/index,試合終了,ウ・リーグ,その他
2025/06/28,杉本商事BS,オリックス vs ソフトバンク,2021030266,https://baseball.yahoo.co.jp/npb/game/2021030266/index,試合終了,ウ・リーグ,パ・リーグ
2025/06/28,ＳＧＬ,阪神 vs 中日,2021030267,https://baseball.yahoo.co.jp/npb/game/2021030267/index,試合終了,ウ・リーグ,セ・リーグ
