試合日,開催地,対戦カード,game_id,URL,試合状態,試合種別,種別
2025/05/31,横浜,DeNA vs ヤクルト,2021029346,https://baseball.yahoo.co.jp/npb/game/2021029346/index,試合終了,セ・リーグ,セ・リーグ
2025/05/31,バンテリンドーム,中日 vs 巨人,2021029347,https://baseball.yahoo.co.jp/npb/game/2021029347/index,試合終了,セ・リーグ,セ・リーグ
2025/05/31,マツダスタジアム,広島 vs 阪神,2021029348,https://baseball.yahoo.co.jp/npb/game/2021029348/index,試合終了,セ・リーグ,セ・リーグ
2025/05/31,エスコンF,日本ハム vs ロッテ,2021029349,https://baseball.yahoo.co.jp/npb/game/2021029349/index,試合終了,パ・リーグ,パ・リーグ
2025/05/31,楽天モバイル,楽天 vs ソフトバンク,2021029350,https://baseball.yahoo.co.jp/npb/game/2021029350/index,試合中止,パ・リーグ,パ・リーグ
2025/05/31,ほっと神戸,オリックス vs 西武,2021029351,https://baseball.yahoo.co.jp/npb/game/2021029351/index,試合終了,パ・リーグ,パ・リーグ
2025/05/31,戸田,ヤクルト vs オイシックス,2021030695,https://baseball.yahoo.co.jp/npb/game/2021030695/index,試合中止,イ・リーグ,その他
2025/05/31,カーミニーク,西武 vs 楽天,2021030694,https://baseball.yahoo.co.jp/npb/game/2021030694/index,試合中止,イ・リーグ,パ・リーグ
2025/05/31,鎌スタ,日本ハム vs ロッテ,2021030697,https://baseball.yahoo.co.jp/npb/game/2021030697/index,試合中止,イ・リーグ,パ・リーグ
2025/05/31,平塚,DeNA vs 巨人,2021030696,https://baseball.yahoo.co.jp/npb/game/2021030696/index,試合中止,イ・リーグ,セ・リーグ
2025/05/31,阿南,オリックス vs ソフトバンク,2021030205,https://baseball.yahoo.co.jp/npb/game/2021030205/index,試合終了,ウ・リーグ,パ・リーグ
2025/05/31,ＳＧＬ,阪神 vs 中日,2021030206,https://baseball.yahoo.co.jp/npb/game/2021030206/index,試合終了,ウ・リーグ,セ・リーグ
