試合日,開催地,対戦カード,game_id,URL,試合状態,試合種別,種別
2025/04/08,横浜,DeNA vs 巨人,2021029091,https://baseball.yahoo.co.jp/npb/game/2021029091/index,試合終了,セ・リーグ,セ・リーグ
2025/04/08,岐阜,中日 vs 広島,2021029092,https://baseball.yahoo.co.jp/npb/game/2021029092/index,試合終了,セ・リーグ,セ・リーグ
2025/04/08,甲子園,阪神 vs ヤクルト,2021029093,https://baseball.yahoo.co.jp/npb/game/2021029093/index,試合終了,セ・リーグ,セ・リーグ
2025/04/08,楽天モバイル,楽天 vs 日本ハム,2021029094,https://baseball.yahoo.co.jp/npb/game/2021029094/index,試合終了,パ・リーグ,パ・リーグ
2025/04/08,ベルーナドーム,西武 vs ロッテ,2021029095,https://baseball.yahoo.co.jp/npb/game/2021029095/index,試合終了,パ・リーグ,パ・リーグ
2025/04/08,京セラD大阪,オリックス vs ソフトバンク,2021029096,https://baseball.yahoo.co.jp/npb/game/2021029096/index,試合終了,パ・リーグ,パ・リーグ
2025/04/08,戸田,ヤクルト vs 西武,2021030539,https://baseball.yahoo.co.jp/npb/game/2021030539/index,試合終了,イ・リーグ,交流戦
2025/04/08,森林どり泉,楽天 vs オイシックス,2021030538,https://baseball.yahoo.co.jp/npb/game/2021030538/index,試合終了,イ・リーグ,その他
2025/04/08,Gタウン,巨人 vs ロッテ,2021030540,https://baseball.yahoo.co.jp/npb/game/2021030540/index,試合終了,イ・リーグ,交流戦
2025/04/08,横須賀,DeNA vs 日本ハム,2021030541,https://baseball.yahoo.co.jp/npb/game/2021030541/index,試合終了,イ・リーグ,交流戦
2025/04/08,タマスタ筑後,ソフトバンク vs 広島,2021030088,https://baseball.yahoo.co.jp/npb/game/2021030088/index,試合終了,ウ・リーグ,交流戦
