試合日,開催地,対戦カード,game_id,URL,試合状態,試合種別,種別
2025/04/25,横浜,DeNA vs 広島,2021029170,https://baseball.yahoo.co.jp/npb/game/2021029170/index,試合終了,セ・リーグ,セ・リーグ
2025/04/25,バンテリンドーム,中日 vs ヤクルト,2021029171,https://baseball.yahoo.co.jp/npb/game/2021029171/index,試合終了,セ・リーグ,セ・リーグ
2025/04/25,甲子園,阪神 vs 巨人,2021029172,https://baseball.yahoo.co.jp/npb/game/2021029172/index,試合終了,セ・リーグ,セ・リーグ
2025/04/25,エスコンF,日本ハム vs ロッテ,2021029173,https://baseball.yahoo.co.jp/npb/game/2021029173/index,試合終了,パ・リーグ,パ・リーグ
2025/04/25,楽天モバイル,楽天 vs ソフトバンク,2021029174,https://baseball.yahoo.co.jp/npb/game/2021029174/index,試合終了,パ・リーグ,パ・リーグ
2025/04/25,ベルーナドーム,西武 vs オリックス,2021029175,https://baseball.yahoo.co.jp/npb/game/2021029175/index,試合終了,パ・リーグ,パ・リーグ
2025/04/25,戸田,ヤクルト vs オイシックス,2021030590,https://baseball.yahoo.co.jp/npb/game/2021030590/index,試合終了,イ・リーグ,その他
2025/04/25,森林どり泉,楽天 vs 西武,2021030588,https://baseball.yahoo.co.jp/npb/game/2021030588/index,試合終了,イ・リーグ,パ・リーグ
2025/04/25,Gタウン,巨人 vs 日本ハム,2021030591,https://baseball.yahoo.co.jp/npb/game/2021030591/index,試合終了,イ・リーグ,交流戦
2025/04/25,横須賀,DeNA vs ロッテ,2021030589,https://baseball.yahoo.co.jp/npb/game/2021030589/index,試合終了,イ・リーグ,交流戦
2025/04/25,マツダスタジアム,広島 vs オリックス,2021030122,https://baseball.yahoo.co.jp/npb/game/2021030122/index,試合終了,ウ・リーグ,交流戦
