試合日,開催地,対戦カード,game_id,URL,試合状態,試合種別,種別
2025/03/15,東京ドーム,阪神 vs カブス,2021031080,https://baseball.yahoo.co.jp/npb/game/2021031080/index,試合終了,プレシーズンゲーム,その他
2025/03/15,東京ドーム,巨人 vs ドジャース,2021031081,https://baseball.yahoo.co.jp/npb/game/2021031081/index,試合終了,プレシーズンゲーム,その他
2025/03/15,神宮,ヤクルト vs オリックス,2021029986,https://baseball.yahoo.co.jp/npb/game/2021029986/index,試合終了,オープン戦,交流戦
2025/03/15,横浜,DeNA vs 楽天,2021029987,https://baseball.yahoo.co.jp/npb/game/2021029987/index,試合終了,オープン戦,交流戦
2025/03/15,マツダスタジアム,広島 vs ロッテ,2021029989,https://baseball.yahoo.co.jp/npb/game/2021029989/index,試合終了,オープン戦,交流戦
2025/03/15,バンテリンドーム,中日 vs 西武,2021029988,https://baseball.yahoo.co.jp/npb/game/2021029988/index,試合終了,オープン戦,交流戦
2025/03/15,みずほPayPay,ソフトバンク vs 日本ハム,2021029990,https://baseball.yahoo.co.jp/npb/game/2021029990/index,試合終了,オープン戦,パ・リーグ
2025/03/15,ベルーナドーム,西武 vs オイシックス,2021030466,https://baseball.yahoo.co.jp/npb/game/2021030466/index,試合終了,イ・リーグ,その他
2025/03/15,鎌スタ,日本ハム vs ロッテ,2021030467,https://baseball.yahoo.co.jp/npb/game/2021030467/index,試合終了,イ・リーグ,パ・リーグ
2025/03/15,Gタウン,巨人 vs 楽天,2021030468,https://baseball.yahoo.co.jp/npb/game/2021030468/index,試合終了,イ・リーグ,交流戦
2025/03/15,横須賀,DeNA vs ヤクルト,2021030469,https://baseball.yahoo.co.jp/npb/game/2021030469/index,試合終了,イ・リーグ,セ・リーグ
2025/03/15,ちゅ～る,くふうハヤテ vs オリックス,2021030029,https://baseball.yahoo.co.jp/npb/game/2021030029/index,試合終了,ウ・リーグ,その他
2025/03/15,ＳＧＬ,阪神 vs 広島,2021030030,https://baseball.yahoo.co.jp/npb/game/2021030030/index,試合終了,ウ・リーグ,セ・リーグ
2025/03/15,タマスタ筑後,ソフトバンク vs 中日,2021030031,https://baseball.yahoo.co.jp/npb/game/2021030031/index,試合中止,ウ・リーグ,交流戦
