試合日,開催地,対戦カード,game_id,URL,試合状態,試合種別,種別
2025/05/11,横浜,DeNA vs 広島,2021029253,https://baseball.yahoo.co.jp/npb/game/2021029253/index,試合終了,セ・リーグ,セ・リーグ
2025/05/11,甲子園,阪神 vs 中日,2021029254,https://baseball.yahoo.co.jp/npb/game/2021029254/index,試合終了,セ・リーグ,セ・リーグ
2025/05/11,神宮,ヤクルト vs 巨人,2021029252,https://baseball.yahoo.co.jp/npb/game/2021029252/index,試合終了,セ・リーグ,セ・リーグ
2025/05/11,エスコンF,日本ハム vs 楽天,2021029255,https://baseball.yahoo.co.jp/npb/game/2021029255/index,試合終了,パ・リーグ,パ・リーグ
2025/05/11,京セラD大阪,オリックス vs ソフトバンク,2021029257,https://baseball.yahoo.co.jp/npb/game/2021029257/index,試合終了,パ・リーグ,パ・リーグ
2025/05/11,ベルーナドーム,西武 vs ロッテ,2021029256,https://baseball.yahoo.co.jp/npb/game/2021029256/index,試合終了,パ・リーグ,パ・リーグ
2025/05/11,森林どり泉,楽天 vs 日本ハム,2021030640,https://baseball.yahoo.co.jp/npb/game/2021030640/index,試合終了,イ・リーグ,パ・リーグ
2025/05/11,新潟みどり森,オイシックス vs ヤクルト,2021030641,https://baseball.yahoo.co.jp/npb/game/2021030641/index,試合中止,イ・リーグ,その他
2025/05/11,本庄,西武 vs 巨人,2021030643,https://baseball.yahoo.co.jp/npb/game/2021030643/index,試合終了,イ・リーグ,交流戦
2025/05/11,江戸川,ロッテ vs DeNA,2021030642,https://baseball.yahoo.co.jp/npb/game/2021030642/index,試合終了,イ・リーグ,交流戦
2025/05/11,広島県・佐伯,広島 vs 中日,2021030163,https://baseball.yahoo.co.jp/npb/game/2021030163/index,試合終了,ウ・リーグ,セ・リーグ
2025/05/11,静岡,くふうハヤテ vs オリックス,2021030161,https://baseball.yahoo.co.jp/npb/game/2021030161/index,試合終了,ウ・リーグ,その他
2025/05/11,ＳＧＬ,阪神 vs ソフトバンク,2021030162,https://baseball.yahoo.co.jp/npb/game/2021030162/index,試合終了,ウ・リーグ,交流戦
