試合日,開催地,対戦カード,game_id,URL,試合状態,試合種別,種別
2025/05/01,東京ドーム,巨人 vs 広島,2021029200,https://baseball.yahoo.co.jp/npb/game/2021029200/index,試合終了,セ・リーグ,セ・リーグ
2025/05/01,神宮,ヤクルト vs DeNA,2021029201,https://baseball.yahoo.co.jp/npb/game/2021029201/index,試合終了,セ・リーグ,セ・リーグ
2025/05/01,バンテリンドーム,中日 vs 阪神,2021029202,https://baseball.yahoo.co.jp/npb/game/2021029202/index,試合終了,セ・リーグ,セ・リーグ
2025/05/01,ベルーナドーム,西武 vs 楽天,2021029203,https://baseball.yahoo.co.jp/npb/game/2021029203/index,試合終了,パ・リーグ,パ・リーグ
2025/05/01,みずほPayPay,ソフトバンク vs 日本ハム,2021029204,https://baseball.yahoo.co.jp/npb/game/2021029204/index,試合終了,パ・リーグ,パ・リーグ
2025/05/01,ナゴヤ球場,中日 vs 広島,2021030135,https://baseball.yahoo.co.jp/npb/game/2021030135/index,試合終了,ウ・リーグ,セ・リーグ
2025/05/01,杉本商事BS,オリックス vs くふうハヤテ,2021030136,https://baseball.yahoo.co.jp/npb/game/2021030136/index,試合終了,ウ・リーグ,その他
2025/05/01,タマスタ筑後,ソフトバンク vs 阪神,2021030137,https://baseball.yahoo.co.jp/npb/game/2021030137/index,試合終了,ウ・リーグ,交流戦
