試合日,開催地,対戦カード,game_id,URL,試合状態,試合種別,種別
2025/04/19,バンテリンドーム,中日 vs DeNA,2021029146,https://baseball.yahoo.co.jp/npb/game/2021029146/index,試合終了,セ・リーグ,セ・リーグ
2025/04/19,甲子園,阪神 vs 広島,2021029147,https://baseball.yahoo.co.jp/npb/game/2021029147/index,試合終了,セ・リーグ,セ・リーグ
2025/04/19,神宮,ヤクルト vs 巨人,2021029145,https://baseball.yahoo.co.jp/npb/game/2021029145/index,試合終了,セ・リーグ,セ・リーグ
2025/04/19,京セラD大阪,オリックス vs 日本ハム,2021029150,https://baseball.yahoo.co.jp/npb/game/2021029150/index,試合終了,パ・リーグ,パ・リーグ
2025/04/19,楽天モバイル,楽天 vs ロッテ,2021029148,https://baseball.yahoo.co.jp/npb/game/2021029148/index,試合終了,パ・リーグ,パ・リーグ
2025/04/19,ベルーナドーム,西武 vs ソフトバンク,2021029149,https://baseball.yahoo.co.jp/npb/game/2021029149/index,試合終了,パ・リーグ,パ・リーグ
2025/04/19,ロッテ,ロッテ vs ヤクルト,2021030571,https://baseball.yahoo.co.jp/npb/game/2021030571/index,試合終了,イ・リーグ,交流戦
2025/04/19,Gタウン,巨人 vs 西武,2021030570,https://baseball.yahoo.co.jp/npb/game/2021030570/index,試合終了,イ・リーグ,交流戦
2025/04/19,鎌スタ,日本ハム vs オイシックス,2021030572,https://baseball.yahoo.co.jp/npb/game/2021030572/index,試合終了,イ・リーグ,その他
2025/04/19,横須賀,DeNA vs 楽天,2021030573,https://baseball.yahoo.co.jp/npb/game/2021030573/index,試合終了,イ・リーグ,交流戦
2025/04/19,ナゴヤ球場,中日 vs くふうハヤテ,2021030108,https://baseball.yahoo.co.jp/npb/game/2021030108/index,試合終了,ウ・リーグ,その他
2025/04/19,ＳＧＬ,阪神 vs 広島,2021030109,https://baseball.yahoo.co.jp/npb/game/2021030109/index,試合終了,ウ・リーグ,セ・リーグ
2025/04/19,タマスタ筑後,ソフトバンク vs オリックス,2021030110,https://baseball.yahoo.co.jp/npb/game/2021030110/index,試合終了,ウ・リーグ,パ・リーグ
