試合日,開催地,対戦カード,game_id,URL,試合状態,試合種別,種別
2025/06/03,エスコンF,日本ハム vs 阪神,2021029358,https://baseball.yahoo.co.jp/npb/game/2021029358/index,試合終了,セ・パ交流戦,交流戦
2025/06/03,楽天モバイル,楽天 vs DeNA,2021029359,https://baseball.yahoo.co.jp/npb/game/2021029359/index,試合終了,セ・パ交流戦,交流戦
2025/06/03,ベルーナドーム,西武 vs ヤクルト,2021029360,https://baseball.yahoo.co.jp/npb/game/2021029360/index,試合終了,セ・パ交流戦,交流戦
2025/06/03,ZOZOマリン,ロッテ vs 巨人,2021029361,https://baseball.yahoo.co.jp/npb/game/2021029361/index,試合中止,セ・パ交流戦,交流戦
2025/06/03,京セラD大阪,オリックス vs 広島,2021029362,https://baseball.yahoo.co.jp/npb/game/2021029362/index,試合終了,セ・パ交流戦,交流戦
2025/06/03,みずほPayPay,ソフトバンク vs 中日,2021029363,https://baseball.yahoo.co.jp/npb/game/2021029363/index,試合終了,セ・パ交流戦,交流戦
2025/06/03,ロッテ,ロッテ vs オイシックス,2021030703,https://baseball.yahoo.co.jp/npb/game/2021030703/index,試合中止,イ・リーグ,その他
2025/06/03,森林どり泉,楽天 vs DeNA,2021030702,https://baseball.yahoo.co.jp/npb/game/2021030702/index,ノーゲーム,イ・リーグ,交流戦
2025/06/03,カーミニーク,西武 vs 日本ハム,2021030704,https://baseball.yahoo.co.jp/npb/game/2021030704/index,試合中止,イ・リーグ,パ・リーグ
2025/06/03,Gタウン,巨人 vs ヤクルト,2021030705,https://baseball.yahoo.co.jp/npb/game/2021030705/index,試合中止,イ・リーグ,セ・リーグ
2025/06/03,由宇,広島 vs オリックス,2021030210,https://baseball.yahoo.co.jp/npb/game/2021030210/index,試合中止,ウ・リーグ,交流戦
2025/06/03,ＳＧＬ,阪神 vs くふうハヤテ,2021030209,https://baseball.yahoo.co.jp/npb/game/2021030209/index,試合中止,ウ・リーグ,その他
