試合日,開催地,対戦カード,game_id,URL,試合状態,試合種別,種別
2025/10/23,生目第二,四国IL選抜 vs ハンファ,2021038042,https://baseball.yahoo.co.jp/npb/game/2021038042/index,試合中止,フェニックスリーグ,その他
2025/10/23,アイビー,オイシックス vs 斗山,2021038041,https://baseball.yahoo.co.jp/npb/game/2021038041/index,試合中止,フェニックスリーグ,その他
2025/10/23,西都,DeNA vs くふうハヤテ,2021038043,https://baseball.yahoo.co.jp/npb/game/2021038043/index,試合中止,フェニックスリーグ,その他
2025/10/23,都城,日本独立リーグ選抜 vs ロッテ,2021038044,https://baseball.yahoo.co.jp/npb/game/2021038044/index,試合中止,フェニックスリーグ,その他
2025/10/23,日向,ヤクルト vs 楽天,2021038045,https://baseball.yahoo.co.jp/npb/game/2021038045/index,試合中止,フェニックスリーグ,交流戦
2025/10/23,天福,広島 vs 巨人,2021038046,https://baseball.yahoo.co.jp/npb/game/2021038046/index,試合中止,フェニックスリーグ,セ・リーグ
2025/10/23,南郷,日本ハム vs 西武,2021038047,https://baseball.yahoo.co.jp/npb/game/2021038047/index,試合終了,フェニックスリーグ,パ・リーグ
