試合日,開催地,対戦カード,game_id,URL,試合状態,試合種別,種別
2025/07/12,バンテリンドーム,中日 vs 広島,2021029540,https://baseball.yahoo.co.jp/npb/game/2021029540/index,試合終了,セ・リーグ,セ・リーグ
2025/07/12,横浜,DeNA vs 巨人,2021029539,https://baseball.yahoo.co.jp/npb/game/2021029539/index,試合終了,セ・リーグ,セ・リーグ
2025/07/12,甲子園,阪神 vs ヤクルト,2021029541,https://baseball.yahoo.co.jp/npb/game/2021029541/index,試合終了,セ・リーグ,セ・リーグ
2025/07/12,エスコンF,日本ハム vs オリックス,2021029542,https://baseball.yahoo.co.jp/npb/game/2021029542/index,試合終了,パ・リーグ,パ・リーグ
2025/07/12,楽天モバイル,楽天 vs ソフトバンク,2021029543,https://baseball.yahoo.co.jp/npb/game/2021029543/index,試合終了,パ・リーグ,パ・リーグ
2025/07/12,ZOZOマリン,ロッテ vs 西武,2021029544,https://baseball.yahoo.co.jp/npb/game/2021029544/index,試合終了,パ・リーグ,パ・リーグ
2025/07/12,ロッテ,ロッテ vs 楽天,2021030818,https://baseball.yahoo.co.jp/npb/game/2021030818/index,試合終了,イ・リーグ,パ・リーグ
2025/07/12,戸田,ヤクルト vs DeNA,2021030816,https://baseball.yahoo.co.jp/npb/game/2021030816/index,試合終了,イ・リーグ,セ・リーグ
2025/07/12,ジャイアンツ,巨人 vs 日本ハム,2021030819,https://baseball.yahoo.co.jp/npb/game/2021030819/index,試合終了,イ・リーグ,交流戦
2025/07/12,新潟みどり森,オイシックス vs 西武,2021030817,https://baseball.yahoo.co.jp/npb/game/2021030817/index,試合終了,イ・リーグ,その他
2025/07/12,ナゴヤ球場,中日 vs くふうハヤテ,2021030299,https://baseball.yahoo.co.jp/npb/game/2021030299/index,試合終了,ウ・リーグ,その他
2025/07/12,高槻萩谷,オリックス vs 阪神,2021030300,https://baseball.yahoo.co.jp/npb/game/2021030300/index,試合終了,ウ・リーグ,交流戦
2025/07/12,タマスタ筑後,ソフトバンク vs 広島,2021030301,https://baseball.yahoo.co.jp/npb/game/2021030301/index,試合終了,ウ・リーグ,交流戦
