試合日,開催地,対戦カード,game_id,URL,試合状態,試合種別,種別
2025/07/30,横浜,DeNA vs ヤクルト,2021029604,https://baseball.yahoo.co.jp/npb/game/2021029604/index,試合終了,セ・リーグ,セ・リーグ
2025/07/30,バンテリンドーム,中日 vs 巨人,2021029605,https://baseball.yahoo.co.jp/npb/game/2021029605/index,試合終了,セ・リーグ,セ・リーグ
2025/07/30,甲子園,阪神 vs 広島,2021029606,https://baseball.yahoo.co.jp/npb/game/2021029606/index,試合終了,セ・リーグ,セ・リーグ
2025/07/30,エスコンF,日本ハム vs ソフトバンク,2021029607,https://baseball.yahoo.co.jp/npb/game/2021029607/index,試合終了,パ・リーグ,パ・リーグ
2025/07/30,ZOZOマリン,ロッテ vs 楽天,2021029608,https://baseball.yahoo.co.jp/npb/game/2021029608/index,試合終了,パ・リーグ,パ・リーグ
2025/07/30,京セラD大阪,オリックス vs 西武,2021029609,https://baseball.yahoo.co.jp/npb/game/2021029609/index,試合終了,パ・リーグ,パ・リーグ
2025/07/30,戸田,ヤクルト vs 巨人,2021030846,https://baseball.yahoo.co.jp/npb/game/2021030846/index,試合終了,イ・リーグ,セ・リーグ
2025/07/30,鎌スタ,日本ハム vs 楽天,2021030847,https://baseball.yahoo.co.jp/npb/game/2021030847/index,試合終了,イ・リーグ,パ・リーグ
2025/07/30,ハードオフ新潟,オイシックス vs ロッテ,2021030844,https://baseball.yahoo.co.jp/npb/game/2021030844/index,試合終了,イ・リーグ,その他
2025/07/30,ベルーナドーム,西武 vs DeNA,2021030845,https://baseball.yahoo.co.jp/npb/game/2021030845/index,試合終了,イ・リーグ,交流戦
2025/07/30,バンテリンドーム,中日 vs 阪神,2021030326,https://baseball.yahoo.co.jp/npb/game/2021030326/index,試合終了,ウ・リーグ,セ・リーグ
2025/07/30,杉本商事BS,オリックス vs 広島,2021030327,https://baseball.yahoo.co.jp/npb/game/2021030327/index,試合終了,ウ・リーグ,交流戦
2025/07/30,みずほPayPay,ソフトバンク vs くふうハヤテ,2021030328,https://baseball.yahoo.co.jp/npb/game/2021030328/index,試合終了,ウ・リーグ,その他
