試合日,開催地,対戦カード,game_id,URL,試合状態,試合種別,種別
2025/05/30,横浜,DeNA vs ヤクルト,2021029341,https://baseball.yahoo.co.jp/npb/game/2021029341/index,試合終了,セ・リーグ,セ・リーグ
2025/05/30,バンテリンドーム,中日 vs 巨人,2021029342,https://baseball.yahoo.co.jp/npb/game/2021029342/index,試合終了,セ・リーグ,セ・リーグ
2025/05/30,マツダスタジアム,広島 vs 阪神,2021029343,https://baseball.yahoo.co.jp/npb/game/2021029343/index,試合終了,セ・リーグ,セ・リーグ
2025/05/30,エスコンF,日本ハム vs ロッテ,2021029344,https://baseball.yahoo.co.jp/npb/game/2021029344/index,試合終了,パ・リーグ,パ・リーグ
2025/05/30,楽天モバイル,楽天 vs ソフトバンク,2021029345,https://baseball.yahoo.co.jp/npb/game/2021029345/index,試合終了,パ・リーグ,パ・リーグ
2025/05/30,戸田,ヤクルト vs オイシックス,2021030691,https://baseball.yahoo.co.jp/npb/game/2021030691/index,試合中止,イ・リーグ,その他
2025/05/30,カーミニーク,西武 vs 楽天,2021030690,https://baseball.yahoo.co.jp/npb/game/2021030690/index,試合中止,イ・リーグ,パ・リーグ
2025/05/30,鎌スタ,日本ハム vs ロッテ,2021030693,https://baseball.yahoo.co.jp/npb/game/2021030693/index,試合中止,イ・リーグ,パ・リーグ
2025/05/30,横須賀,DeNA vs 巨人,2021030692,https://baseball.yahoo.co.jp/npb/game/2021030692/index,試合終了,イ・リーグ,セ・リーグ
2025/05/30,ＳＧＬ,阪神 vs 中日,2021030204,https://baseball.yahoo.co.jp/npb/game/2021030204/index,試合終了,ウ・リーグ,セ・リーグ
