試合日,開催地,対戦カード,game_id,URL,試合状態,試合種別,種別
2025/09/23,横浜,DeNA vs 阪神,2021029873,https://baseball.yahoo.co.jp/npb/game/2021029873/index,試合終了,セ・リーグ,セ・リーグ
2025/09/23,神宮,ヤクルト vs 中日,2021029872,https://baseball.yahoo.co.jp/npb/game/2021029872/index,試合終了,セ・リーグ,セ・リーグ
2025/09/23,マツダスタジアム,広島 vs 巨人,2021029874,https://baseball.yahoo.co.jp/npb/game/2021029874/index,試合終了,セ・リーグ,セ・リーグ
2025/09/23,エスコンF,日本ハム vs 楽天,2021029875,https://baseball.yahoo.co.jp/npb/game/2021029875/index,試合終了,パ・リーグ,パ・リーグ
2025/09/23,みずほPayPay,ソフトバンク vs オリックス,2021029877,https://baseball.yahoo.co.jp/npb/game/2021029877/index,試合終了,パ・リーグ,パ・リーグ
2025/09/23,ZOZOマリン,ロッテ vs 西武,2021029876,https://baseball.yahoo.co.jp/npb/game/2021029876/index,試合終了,パ・リーグ,パ・リーグ
2025/09/23,ロッテ,ロッテ vs 西武,2021030991,https://baseball.yahoo.co.jp/npb/game/2021030991/index,試合終了,イ・リーグ,パ・リーグ
2025/09/23,戸田,ヤクルト vs 巨人,2021030990,https://baseball.yahoo.co.jp/npb/game/2021030990/index,試合終了,イ・リーグ,セ・リーグ
2025/09/23,長岡悠久山,オイシックス vs 日本ハム,2021030989,https://baseball.yahoo.co.jp/npb/game/2021030989/index,試合終了,イ・リーグ,その他
2025/09/23,横須賀,DeNA vs 楽天,2021030992,https://baseball.yahoo.co.jp/npb/game/2021030992/index,試合終了,イ・リーグ,交流戦
2025/09/23,ナゴヤ球場,中日 vs くふうハヤテ,2021030448,https://baseball.yahoo.co.jp/npb/game/2021030448/index,試合終了,ウ・リーグ,その他
2025/09/23,さとやく,オリックス vs ソフトバンク,2021030449,https://baseball.yahoo.co.jp/npb/game/2021030449/index,試合終了,ウ・リーグ,パ・リーグ
2025/09/23,ＳＧＬ,阪神 vs 広島,2021030450,https://baseball.yahoo.co.jp/npb/game/2021030450/index,試合終了,ウ・リーグ,セ・リーグ
